population,metric,candidate_id,family_size,unadjusted_two_sided_bootstrap_p,holm_adjusted_p,holm_significant_0_05,fraction_draws_favoring_champion_retention,interpretation
FROZEN_2025_VALIDATION,mae,S2_01,15,0.587,0.7552,False,0.7065,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,brier,S2_04,15,0.0136,0.204,False,0.9932,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,brier,S2_05,15,0.5422,1.0,False,0.7289,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,brier,S2_06,15,0.2966,1.0,False,0.8517,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,brier,S2_07,15,0.025,0.35000000000000003,False,0.0125,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,brier,S2_08,15,0.0664,0.8632,False,0.0332,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,brier,S2_09,15,0.5678,1.0,False,0.7161,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,brier,S2_10,15,0.7914,1.0,False,0.3957,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,brier,S2_11,15,0.2202,1.0,False,0.8899,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,brier,S2_12,15,0.0826,0.9912000000000001,False,0.9587,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,brier,S2_13,15,0.1752,1.0,False,0.9124,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,brier,S2_14,15,0.2984,1.0,False,0.8508,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,brier,S2_15,15,0.8014,1.0,False,0.5993,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,log_loss,S2_01,15,0.6194,1.0,False,0.3097,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,log_loss,S2_02,15,0.6532,1.0,False,0.3266,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,log_loss,S2_03,15,0.3602,1.0,False,0.8199,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,log_loss,S2_04,15,0.0096,0.144,False,0.9952,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,log_loss,S2_05,15,0.4516,1.0,False,0.7742,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,log_loss,S2_06,15,0.3222,1.0,False,0.8389,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,log_loss,S2_07,15,0.0244,0.3416,False,0.0122,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,log_loss,S2_08,15,0.0618,0.8034,False,0.0309,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,log_loss,S2_09,15,0.5592,1.0,False,0.7204,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,log_loss,S2_10,15,0.8902,1.0,False,0.4451,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,log_loss,S2_11,15,0.2838,1.0,False,0.8581,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,log_loss,S2_12,15,0.1142,1.0,False,0.9429,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,log_loss,S2_13,15,0.247,1.0,False,0.8765,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,log_loss,S2_14,15,0.355,1.0,False,0.8225,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,log_loss,S2_15,15,0.9114,1.0,False,0.5443,FWER sensitivity only; not sole structural interpretation
